beınsport-beın sport
abdullahavcı-abdullah avcı
çıbanve-çıban ve
mıdemek-mı demek
istemiyorumdiyor-istemiyorum diyor
meraketmek-merak etmek
veyabüyük-veya büyük
simyok-sim yok
taşocaklarında-taş ocaklarında
aydanasıl-ayda nasıl
meraketmez-merak etmez
holmesmü-holmes mü
öncephesinde-ön cephesinde
kürtkızı-kürt kızı
dubaiolarak-dubai olarak
zatenbir-zaten bir
güzelşey-güzel şey
sertesen-sert esen
boroksit-bor oksit
çocukvardı-çocuk vardı
lenordan-len ordan
egeperla-ege perla
cansıkıntısını-can sıkıntısını
kıçkafa-kıç kafa
pasat-pas at
açıkkaynaklı-açık kaynaklı
topbizde-top bizde
hiçtereddüt-hiç tereddüt
ziyanur-ziya nur
gerekirki-gerekir ki
öholerinde-öho lerinde
zihnipaşa-zihni paşa
yunusbalığını-yunus balığını
kapet-kap et
allahutealanın-allahu tealanın
şeyolmuş-şey olmuş
lazımdiye-lazım diye
giderkenbu-giderken bu
parmakizlerin-parmak izlerin
eskişehiremi-eskişehire mi
devletbaba-devlet baba
topmodeller-top modeller
artıkonun-artık onun
hepbir-hep bir
modaolacak-moda olacak
abdaldede-abdal dede
yarıminsan-yarım insan
peribacalarına-peri bacalarına
ekrankartıda-ekran kartıda
derkenşimdi-derken şimdi
nasyonalsosyalizmin-nasyonal sosyalizmin
üniversitesieski-üniversitesi eski
demekdeğil-demek değil
narsuyuyla-nar suyuyla
romankişisi-roman kişisi
abdullahcan-abdullah can
turbocore-turbo core
ilgiligerekli-ilgili gerekli
giderkendi-gider kendi
içsiyasette-iç siyasette
vaadettiğin-vaad ettiğin
devamkararı-devam kararı
yakınolan-yakın olan
sitelerinive-sitelerini ve
türkiyecumhuriyetinin-türkiye cumhuriyetinin
gribalıkçıl-gri balıkçıl
gündüzdüşleri-gündüz düşleri
tutkubir-tutku bir
sarıyeşil-sarı yeşil
itbaşı-it başı
tamamtamam-tamam tamam
flndı-fln dı
geçişinsöz-geçişin söz
köyyumurtası-köy yumurtası
hızlıferibot-hızlı feribot
orayatek-oraya tek
alhaberi-al haberi
gelsende-gel sende
aklımagelen-aklıma gelen
dizelile-dizel ile
sözleşmedışı-sözleşme dışı
seyyolunda-sey yolunda
griffiçin-griff için
serapark-sera park
fanko-fan ko
banabir-bana bir
popcaz-pop caz
bilemiyorumama-bilemiyorum ama
wowpuanlar-wow puanlar
salakbiri-salak biri
ağaçdiye-ağaç diye
hertarafı-her tarafı
salihcan-salih can
redbulls-red bulls
dörtmilyon-dört milyon
bumilletin-bu milletin
köprüsüoluşturmak-köprüsü oluşturmak
bakgene-bak gene
genelkültür-genel kültür
açlütfen-aç lütfen
mişligeçmiş-mişli geçmiş
etmelerive-etmeleri ve
gibipek-gibi pek
kurbağasıolarak-kurbağası olarak
torrentfreak-torrent freak
kurtali-kurt ali
suankı-suan kı
vesileolacak-vesile olacak
walther-walt her
karaçarşafa-kara çarşafa
semracan-semra can
cvnize-cv nize
vestelmi-vestel mi
bırkısım-bır kısım
cvnizi-cv nizi
güreve-güre ve
beyazkod-beyaz kod
ımfdünya-ımf dünya
partiil-parti il
hayırkurumu-hayır kurumu
arkakapıdan-arka kapıdan
artıbirde-artı birde
canlıskor-canlı skor
ederyani-eder yani
supermodel-super model
insanlarsizi-insanlar sizi
radyetemel-radye temel
sanalsex-sanal sex
—belki-— belki
sarılacivertlilerin-sarı lacivertlilerin
işyaptığını-iş yaptığını
çıktıdiye-çıktı diye
nepahasına-ne pahasına
çağrıyılmaz-çağrı yılmaz
kadarolur-kadar olur
tanrımsen-tanrım sen
belkiben-belki ben
osmanlıimparatorluğunun-osmanlı imparatorluğunun
körfeziçi-körfez içi
hıyarmı-hıyar mı
bununhiç-bunun hiç
nedentürk-neden türk
evrenindört-evrenin dört
bendehemen-bende hemen
ferahiçinde-ferah içinde
esinkaya-esin kaya
sengidip-sen gidip
videofilm-video film
yasalbir-yasal bir
yağlıyağlı-yağlı yağlı
kiminkötü-kimin kötü
çokseverim-çok severim
siktireden-siktir eden
ediyorumçok-ediyorum çok
siktireder-siktir eder
türkiyeyidaha-türkiyeyi daha
verdibana-verdi bana
peribacalarını-peri bacalarını
şelaleparktan-şelale parktan
bubakımdan-bu bakımdan
durbak-dur bak
gayolarak-gay olarak
hâlânet-hâlâ net
güneykuşak-güney kuşak
hakkındabaşka-hakkında başka
jimmi-jim mi
bakanbey-bakan bey
konuşmalarsadece-konuşmalar sadece
aliatay-ali atay
gerikafalı-geri kafalı
ligteki-ligte ki
joeymi-joey mi
bedendışı-beden dışı
karyağacak-kar yağacak
kredikartıma-kredi kartıma
bişeydemedi-bişey demedi
güvercinada-güvercin ada
içdenetçi-iç denetçi
dreamhill-dream hill
neyseşu-neyse şu
türkfilmi-türk filmi
doğrulukpayı-doğruluk payı
unutulmazfilmler-unutulmaz filmler
mevkiiçin-mevki için
optiksinirin-optik sinirin
gömlekdüğmesi-gömlek düğmesi
bunuancak-bunu ancak
•açık-• açık
çaymahallesi-çay mahallesi
fahişemuamelesi-fahişe muamelesi
müslümanlararası-müslümanlar arası
saçmaiş-saçma iş
yazbitti-yaz bitti
çomaroğlu-çomar oğlu
tarabyaüstünde-tarabya üstünde
yetmişbirinci-yetmiş birinci
isterki-ister ki
edeninsan-eden insan
öldürmesuçundan-öldürme suçundan
tayyarağa-tayyar ağa
silinder-silin der
mahmutgazi-mahmut gazi
talebiile-talebi ile
öholerinin-öho lerinin
aysüre-ay süre
alıcakmısın-alıcak mısın
fazılahmet-fazıl ahmet
sislambalarının-sis lambalarının
olabilirbir-olabilir bir
bitkindurumdayım-bitkin durumdayım
aradurak-ara durak
bilderim-bil derim
yakınbi-yakın bi
yüksekrisk-yüksek risk
yolkenarı-yol kenarı
kampise-kamp ise
tasadece-ta sadece
birtaraftan-bir taraftan
yuvaköyünde-yuva köyünde
aynımasada-aynı masada
çeşmespor-çeşme spor
büyükboy-büyük boy
durben-dur ben
gerikalanından-geri kalanından
hepben-hep ben
başaçıkabiliriz-başa çıkabiliriz
gebzeizmir-gebze izmir
benimeski-benim eski
fsınıfı-f sınıfı
seskaydını-ses kaydını
düğünçiçeği-düğün çiçeği
sirderya-sir derya
kamuyararı-kamu yararı
emineerdoğan-emine erdoğan
oğlumbak-oğlum bak
hergünhergün-hergün hergün
niğdebelediye-niğde belediye
katamı-kata mı
sdiye-s diye
makyajfırçası-makyaj fırçası
ziyafetmi-ziyafet mi
ondanbir-ondan bir
samibeyin-sami beyin
alttaraftaki-alt taraftaki
önjüri-ön jüri
konudanayrı-konudan ayrı
dosomething-do something
yakupabdal-yakup abdal
sonbulur-son bulur
portclinic-port clinic
herkoşulda-her koşulda
kurbanbayramından-kurban bayramından
kendeğil-ken değil
superpi-super pi
işimgücüm-işim gücüm
türksiyasetinin-türk siyasetinin
bestair-best air
sahtekardin-sahtekar din
seferiçin-sefer için
mesafekoy-mesafe koy
oldunoldun-oldun oldun
eydoğan-ey doğan
fetödiye-fetö diye
tahtakılıç-tahta kılıç
ifaspor-ifa spor
zihinbeden-zihin beden
tuvaletegidiyorum-tuvalete gidiyorum
zekişen-zeki şen
hoşbirşey-hoş birşey
temmuzayında-temmuz ayında
alınmasıgerektiğini-alınması gerektiğini
zordurum-zor durum
kuralınıçiğniyor-kuralını çiğniyor
hazıryemek-hazır yemek
eşigörülmemiş-eşi görülmemiş
türkiyeyeyönelik-türkiyeye yönelik
eğriliman-eğri liman
herşeyinbir-herşeyin bir
lailk-la ilk
etive-eti ve
balyozgibi-balyoz gibi
cemrecan-cemre can
balıkhalinde-balık halinde
atmışiki-atmış iki
ikidünya-iki dünya
aldınmı-aldın mı
laile-la ile
kirkmü-kirk mü
yurtgazetesi-yurt gazetesi
hdise-hd ise
şeyyapmıyor-şey yapmıyor
cevabımevet-cevabım evet
yoncaevleri-yonca evleri
andersonmı-anderson mı
türkdeniz-türk deniz
dropshot-drop shot
ozanemre-ozan emre
etkiederek-etki ederek
alanistanbul-alan istanbul
gibişeyler-gibi şeyler
tbmmiçtüzüğünün-tbmm içtüzüğünün
eskiankara-eski ankara
ciddençok-cidden çok
sıtkıcan-sıtkı can
geldindiyoruz-geldin diyoruz
ultraslim-ultra slim
yerdendevam-yerden devam
allenmı-allen mı
victorhugo-victor hugo
ikimizdeneden-ikimizde neden
kurusoğana-kuru soğana
busüre-bu süre
kangile-kang ile
açıkrenkli-açık renkli
kabuledersiniz-kabul edersiniz
cezasıverilecek-cezası verilecek
malatyagüncel-malatya güncel
daryol-dar yol
dinedönüş-dine dönüş
sodyumnitrat-sodyum nitrat
balıkgölü-balık gölü
uhtamam-uh tamam
şişbörek-şiş börek
abdülhamithanın-abdülhamit hanın
duşkabininin-duş kabininin
benbir-ben bir
başkoyduk-baş koyduk
yaallah-ya allah
yılvar-yıl var
teminet-temin et
battalboy-battal boy
beştebir-beşte bir
bilirsinbunu-bilirsin bunu
chimei-chi mei
playstationmı-playstation mı
sukadar-su kadar
abdekonomisi-abd ekonomisi
ishalvakası-ishal vakası
banadamı-banada mı
dediğer-de diğer
cevabınhayır-cevabın hayır
avşarelleri-avşar elleri
iremyayıncılık-irem yayıncılık
alırımsana-alırım sana
içistihbarat-iç istihbarat
opensuse-open suse
ilgilibirçok-ilgili birçok
maçsonuçları-maç sonuçları
konutdışı-konut dışı
göllerdebu-göllerde bu
cemilusta-cemil usta
daöyle-da öyle
msjlarda-msj larda
koyal-koy al
tuzkarabiber-tuz karabiber
birhafta-bir hafta
sendromudediğimiz-sendromu dediğimiz
bölümher-bölüm her
hannovermesse-hannover messe
yarabandını-yara bandını
gelenigideni-geleni gideni
denkgelmemiş-denk gelmemiş
promod-pro mod
başsorumlu-baş sorumlu
alexeile-alexe ile
kızlargecesi-kızlar gecesi
bagevinde-bag evinde
yanıtveren-yanıt veren
ağırabi-ağır abi
sevinelimmi-sevinelim mi
özevlat-öz evlat
kurusoğanı-kuru soğanı
yadetmeyi-yad etmeyi
kırklardağında-kırklar dağında
altavista-alta vista
osmanlıimparatorluğunda-osmanlı imparatorluğunda
yayınakışı-yayın akışı
tarafsızhaber-tarafsız haber
gazetehabertürk-gazete habertürk
almasıve-alması ve
arttırarakkan-arttırarak kan
tbmmkürsüsünde-tbmm kürsüsünde
jinsana-jin sana
uzaktut-uzak tut
salihreis-salih reis
çipseti-çip seti
kralıolarak-kralı olarak
andhow-and how
kasabaköy-kasaba köy
taşocaklarından-taş ocaklarından
oyunoynuyorum-oyun oynuyorum
çaldağı-çal dağı
maruzkalabilirsiniz-maruz kalabilirsiniz
oyunoynuyoruz-oyun oynuyoruz
güvenlikgücü-güvenlik gücü
yanıtverdi-yanıt verdi
yeonmu-yeon mu
birkaçadam-birkaç adam
leylandmı-leyland mı
bölgesiolduğunu-bölgesi olduğunu
yaybir-yay bir
johnhenry-john henry
yazarıahmet-yazarı ahmet
hicretgücü-hicret gücü
sevinçdolu-sevinç dolu
macmi-mac mi
eğeröyleyse-eğer öyleyse
newcity-new city
elinile-elin ile
görmeengelliyim-görme engelliyim
ariçin-ar için
masalambası-masa lambası
carcurt-car curt
partiiktidarına-parti iktidarına
hocamaynı-hocam aynı
açıkrenk-açık renk
akreperkeği-akrep erkeği
elektromarketlerde-elektro marketlerde
hanjung-han jung
köyyerinde-köy yerinde
dubleduble-duble duble
maskelibalo-maskeli balo
görünüyorama-görünüyor ama
therif-t herif
ikiisim-iki isim
belkibizim-belki bizim
entrylerinde-entryleri nde
şudurumda-şu durumda
metrealtında-metre altında
içinözür-için özür
newbalance-new balance
içedönüş-içe dönüş
dediğiniş-dediğin iş
programama-program ama
yatakodanda-yatak odanda
—sayın-— sayın
farukabi-faruk abi
ekatama-ek atama
gözatmaya-göz atmaya
parve-par ve
olduhala-oldu hala
suçvar-suç var
thered-the red
coololarak-cool olarak
çocuğuolarak-çocuğu olarak
weavermı-weaver mı
pkkkendi-pkk kendi
dedimtamam-dedim tamam
üniversitesiiçin-üniversitesi için
beckhammı-beckham mı
türkdünyasının-türk dünyasının
amınakoymuştur-amına koymuştur
oldedim-ol dedim
bozkaz-boz kaz
yaşlıbaşlı-yaşlı başlı
donanımhaber-donanım haber
dilerimbir-dilerim bir
popoçatalı-popo çatalı
tıbbihata-tıbbi hata
ortakapının-orta kapının
özgenur-özge nur
snowkite-snow kite
sağolsundiyerek-sağolsun diyerek
yeşilcamii-yeşil camii
sanaemanet-sana emanet
kayseridemi-kayseride mi
nedemektir-ne demektir
beyazyaka-beyaz yaka
kangibi-kan gibi
buyılki-bu yılki
ulemayamı-ulemaya mı
tekiyimve-tekiyim ve
alimsatim-alim satim
onunyeri-onun yeri
eğerbuna-eğer buna
xolan-x olan
herseçimde-her seçimde
thegodfather-the godfather
bukonularda-bu konularda
korobaşı-koro başı
pulve-pul ve
programadı-program adı
pekçokları-pek çokları
çiftcam-çift cam
bununiyi-bunun iyi
olmayabaşladı-olmaya başladı
macarördeği-macar ördeği
deryabaykal-derya baykal
irankarşıtı-iran karşıtı
xboxmı-xbox mı
ıtemsil-ı temsil
sıragecesi-sıra gecesi
deltasport-delta sport
senianlıyorum-seni anlıyorum
manyetikbant-manyetik bant
girilmezyazısı-girilmez yazısı
ankarayamı-ankaraya mı
biziçok-bizi çok
warsiçin-wars için
piise-pi ise
alarmdurumunda-alarm durumunda
obüyük-o büyük
oyunsonrası-oyun sonrası
gözealabilen-göze alabilen
pembekadın-pembe kadın
evomu-evo mu
leesmith-lee smith
diyenemi-diyene mi
barajyoluna-baraj yoluna
veririse-verir ise
belçikahollanda-belçika hollanda
hakkile-hakk ile
kılkıl-kıl kıl
antonprofesyonel-anton profesyonel
çarkedeceğini-çark edeceğini
motorsporlarına-motor sporlarına
yavrumbir-yavrum bir
ondagördüm-onda gördüm
sanatgüneşi-sanat güneşi
limonotu-limon otu
abdülhamidhana-abdülhamid hana
hacıdayı-hacı dayı
geceiyi-gece iyi
evişlerini-ev işlerini
kırbir-kır bir
dengirmir-dengir mir
dörtyolağzından-dörtyol ağzından
taşdöşeme-taş döşeme
okullarıarası-okulları arası
kanopi-kano pi
mariefrance-marie france
pcdede-pc dede
evişlerine-ev işlerine
spammı-spam mı
tertipcan-tertip can
karşışiddet-karşı şiddet
kadarve-kadar ve
anlatmayaçalışıyorum-anlatmaya çalışıyorum
şükrüaslan-şükrü aslan
bochun-bo chun
hepsigüzel-hepsi güzel
güvenliev-güvenli ev
ikisaatlik-iki saatlik
zekiçevik-zeki çevik
fibernet-fiber net
güvenlikkonseyinin-güvenlik konseyinin
ümitalan-ümit alan
kurulununardından-kurulunun ardından
sahadaha-saha daha
bandiçin-band için
ortaüst-orta üst
kalile-kal ile
sonsürat-son sürat
nesilipad-nesil ipad
karsıçıkmak-karsı çıkmak
sekizsaniye-sekiz saniye
versinben-versin ben
öncebana-önce bana
sanabağlı-sana bağlı
şeyama-şey ama
ancakhiç-ancak hiç
kendikendimizi-kendi kendimizi
kendikendimize-kendi kendimize
bursadamı-bursada mı
birsonuç-bir sonuç
kadarmı-kadar mı
ilgilendirmezdedi-ilgilendirmez dedi
nuyeni-nu yeni
sansürsüzhaber-sansürsüz haber
olanpolis-olan polis
ahaber-a haber
hiçdüşünmedim-hiç düşünmedim
carlosmu-carlos mu
tazeyumurta-taze yumurta
erdemkaya-erdem kaya
ramiçin-ram için
türkmilletini-türk milletini
annemeçok-anneme çok
igeçen-i geçen
playtuşu-play tuşu
entrydeki-entryde ki
kafasıolan-kafası olan
müftüönü-müftü önü
neolsun-ne olsun
sağlıkocağında-sağlık ocağında
okubi-oku bi
inanolsun-inan olsun
fotomak-foto mak
dahasağlam-daha sağlam
değilimdiyor-değilim diyor
esasoğlanı-esas oğlanı
olaraksadece-olarak sadece
tüminsanların-tüm insanların
limonluparfe-limonlu parfe
ertesigun-ertesi gun
merkeziçin-merkez için
asmerkeze-as merkeze
kocabebek-koca bebek
beyinyok-beyin yok
kadirgeceniz-kadir geceniz
maxçok-max çok
demirparmaklık-demir parmaklık
ozamana-o zamana
mıçok-mı çok
easymoney-easy money
havaindirme-hava indirme
diyebana-diye bana
misinyoksa-misin yoksa
ölümüdaha-ölümü daha
birsüredir-bir süredir
yarasakol-yarasa kol
kaçhaftadır-kaç haftadır
timbir-tim bir
aşkıolarak-aşkı olarak
köpeköldüren-köpek öldüren
kaçışyok-kaçış yok
tesbihçeker-tesbih çeker
açıklamışbence-açıklamış bence
taşatana-taş atana
nasihatmı-nasihat mı
gazeteduvar-gazete duvar
delimanyak-deli manyak
otobu-oto bu
haltetti-halt etti
bişeyleryapmaya-bişeyler yapmaya
kibaroldu-kibar oldu
busorunun-bu sorunun
kanghwa-kang hwa
sokakbaşında-sokak başında
nurşahin-nur şahin
mücadelebu-mücadele bu
olsaydısadece-olsaydı sadece
mavituna-mavi tuna
hayirmi-hayir mi
anbaşka-an başka
başlamakisterim-başlamak isterim
güneydoğuanadoluda-güneydoğu anadoluda
hahaha-haha ha
yabanhavucu-yaban havucu
fanboyları-fan boyları
önotopsi-ön otopsi
bunadaha-buna daha
okadarki-okadar ki
misavm-mis avm
normender-norm ender
yâdedildi-yâd edildi
diyedüşünüp-diye düşünüp
hisediyor-his ediyor
yazışmalarındabir-yazışmalarında bir
kütahyagediz-kütahya gediz
babypod-baby pod
birlikteistanbul-birlikte istanbul
yananveya-yanan veya
catfight-cat fight
bitelefon-bi telefon
gözkamaştırdı-göz kamaştırdı
johnnymo-johnny mo
olmuşturbu-olmuştur bu
moralibaba-morali baba
ikifarklı-iki farklı
bunuyapar-bunu yapar
ağırgeldi-ağır geldi
golfkursu-golf kursu
sankidaha-sanki daha
öldübir-öldü bir
theother-the other
işmakinaları-iş makinaları
pazarsabah-pazar sabah
uzaydazaman-uzayda zaman
balçovayada-balçova yada
odalararası-odalar arası
şişmankız-şişman kız
aşkoyunu-aşk oyunu
hazardağı-hazar dağı
tmmdır-tmm dır
gensan-gen san
şeyseben-şeyse ben
odasındayalnız-odasında yalnız
aynendoğru-aynen doğru
fonlararası-fonlar arası
görselmedya-görsel medya
haladuruyor-hala duruyor
sormuşmuydum-sormuş muydum
yanıkköyü-yanık köyü
kampüsdışı-kampüs dışı
birliktemi-birlikte mi
kuyudibinden-kuyu dibinden
macitefendi-macit efendi
söylediye-söyle diye
bualanda-bu alanda
içindeyüzde-içinde yüzde
filebekçi-file bekçi
bugünlerdeve-bugünlerde ve
gözağrım-göz ağrım
fahişegibi-fahişe gibi
fairve-fair ve
siberterörizm-siber terörizm
değiştimi-değişti mi
ryanmı-ryan mı
kürtolmak-kürt olmak
süperkobra-süper kobra
mutluyumdiye-mutluyum diye
topgol-top gol
kulevinçin-kule vinçin
yemişkapanı-yemiş kapanı
şirinbabanın-şirin babanın
taşkoyan-taş koyan
gülebay-güle bay
yaşgurubu-yaş gurubu
destekolun-destek olun
mavigözlüm-mavi gözlüm
ağırama-ağır ama
obaçayı-oba çayı
cehennemiçin-cehennem için
tekbüyük-tek büyük
burakkaya-burak kaya
amkdiyen-amk diyen
msjlarla-msj larla
atıyok-atı yok
ınnotelinde-ınn otelinde
artıkona-artık ona
hiçbirkadın-hiçbir kadın
kinchan-kin chan
atfıkabil-atfı kabil
topgun-top gun
morgöz-mor göz
pirbaba-pir baba
solsağ-sol sağ
çoktercih-çok tercih
saraykadınları-saray kadınları
zorundakalacak-zorunda kalacak
şimdineden-şimdi neden
yazgeldi-yaz geldi
karloviçin-karlov için
bileve-bile ve
yanlışdiye-yanlış diye
üzgünümçok-üzgünüm çok
rahatsızolma-rahatsız olma
sıarasında-sı arasında
ötebir-öte bir
artıkonu-artık onu
gıcıkmı-gıcık mı
inceminare-ince minare
kontragerilla-kontra gerilla
taewoong-tae woong
mutlunoeller-mutlu noeller
taaamına-taa amına
rüyasıolarak-rüyası olarak
aslabu-asla bu
oyumben-oyum ben
kandaise-kanda ise
türkiyeninher-türkiyenin her
sokağıve-sokağı ve
delikanlıoğlu-delikanlı oğlu
dakikaiçin-dakika için
altıngünü-altın günü
gavurderesi-gavur deresi
sentam-sen tam
edendavutoğlu-eden davutoğlu
taşhanpazarı-taşhan pazarı
halaybaşını-halay başını
yenibaşlayan-yeni başlayan
toyama-toy ama
anlatıyorbir-anlatıyor bir
heryolu-her yolu
cevapsızarama-cevapsız arama
kurtüzümü-kurt üzümü
kitaçıkları-kit açıkları
ronnieile-ronnie ile
amasanırım-ama sanırım
kafadanbacaklı-kafadan bacaklı
tapdance-tap dance
sınırkapısına-sınır kapısına
fesedecek-fes edecek
önkapının-ön kapının
binlercekere-binlerce kere
winpatrol-win patrol
kavunağacı-kavun ağacı
tommyiyi-tommy iyi
programıtarafından-programı tarafından
bütünbüyük-bütün büyük
şehirdışı-şehir dışı
olmadam-olm adam
kafkastürkü-kafkas türkü
marieclaude-marie claude
yâdetti-yâd etti
evdekalan-evde kalan
ekmeğineyağ-ekmeğine yağ
ekpara-ek para
eeeeee-eee eee
izinvermedik-izin vermedik
yarıdabıraktım-yarıda bıraktım
izinvermedim-izin vermedim
gryer-gr yer
şiile-şi ile
yapmalütfen-yapma lütfen
gönülbir-gönül bir
alımsatımıyla-alım satımıyla
boygöstermekte-boy göstermekte
yansanayide-yan sanayide
öncephe-ön cephe
öldürmüşolabilirler-öldürmüş olabilirler
başlıyorişte-başlıyor işte
oyunbüyük-oyun büyük
sacdağı-sac dağı
diniçin-din için
çocuğunanne-çocuğun anne
gülmü-gül mü
sevdiğimkısmı-sevdiğim kısmı
antropologmargaret-antropolog margaret
moduotomatik-modu otomatik
abuammar-abu ammar
yaşadiye-yaşa diye
kreşteve-kreşte ve
lüzumyok-lüzum yok
dutdibi-dut dibi
karşıdeğil-karşı değil
kolayoldu-kolay oldu
ayaktaduruyorum-ayakta duruyorum
yazıkki-yazık ki
superlight-super light
fertbaşına-fert başına
bitiçin-bit için
zamankendi-zaman kendi
felanher-felan her
otuzbeşinci-otuz beşinci
olabilirdiye-olabilir diye
kayagazının-kaya gazının
altınkızlar-altın kızlar
amiriyasin-amiri yasin
oğuloğul-oğul oğul
seomu-seo mu
mertahmet-mert ahmet
ödevmi-ödev mi
yüzbini-yüz bini
mısırpüskülü-mısır püskülü
yüzbine-yüz bine
yorkeriçin-yorker için
sıcaklığıve-sıcaklığı ve
kötüolursa-kötü olursa
eğerbaşka-eğer başka
emirkomutasında-emir komutasında
köprüarası-köprü arası
sınırlıbir-sınırlı bir
genelitibariyle-genel itibariyle
ileişbirliği-ile işbirliği
seona-se ona
eğlenelimderken-eğlenelim derken
solyan-sol yan
kurullararası-kurullar arası
kaldırdedim-kaldır dedim
gayrımenkulün-gayrı menkulün
megapark-mega park
habervereceğim-haber vereceğim
seonu-se onu
ihtiyacınıkarşılamaktır-ihtiyacını karşılamaktır
götdelikleri-göt delikleri
besdakika-bes dakika
sıralarındameydana-sıralarında meydana
bunlarmı-bunlar mı
fişhabur-fiş habur
varki-var ki
olduğumuanladı-olduğumu anladı
ısyerı-ıs yerı
kadınlarneden-kadınlar neden
ehlibeyti-ehli beyti
hzpeygamberin-hz peygamberin
paralelterör-paralel terör
fortwo-for two
basketsahasında-basket sahasında
disan-di san
pittmi-pitt mi
galibiyetalan-galibiyet alan
ülkücülerintamamı-ülkücülerin tamamı
sırrısakık-sırrı sakık
ilekarşılaştı-ile karşılaştı
sivriakıllının-sivri akıllının
birçokkere-birçok kere
sokakortasında-sokak ortasında
yanetkilerin-yan etkilerin
vatanhainleriyle-vatan hainleriyle
girişçıkışlarına-giriş çıkışlarına
cdiye-c diye
dahiletme-dahil etme
bmiyi-bm iyi
insanlarıbiraz-insanları biraz
teknikdirektöre-teknik direktöre
dreamscene-dream scene
atmışve-atmış ve
moneyman-money man
açbiilaç-aç biilaç
bukadaryeter-bukadar yeter
ilerigörüşlülüğü-ileri görüşlülüğü
sevdiğikadına-sevdiği kadına
solet-so let
tldeğil-tl değil
hacıarslan-hacı arslan
jaeile-jae ile
bildirmeolarak-bildirme olarak
sekizköşe-sekiz köşe
artniyetlilere-art niyetlilere
bankasımı-bankası mı
kesinlikortaya-kesinlik ortaya
denizbarış-deniz barış
yetişkineğitim-yetişkin eğitim
türkiyedışında-türkiye dışında
kabülettim-kabül ettim
bilmemneci-bilmem neci
unutmabu-unutma bu
parismi-paris mi
uyuşturucukarşıtı-uyuşturucu karşıtı
havatahmini-hava tahmini
ilkehaber-ilke haber
isterdiye-ister diye
güleçköy-güleç köy
dedevam-de devam
whatwhat-what what
olursanırım-olur sanırım
çokbeğendim-çok beğendim
firechat-fire chat
türkçematematik-türkçe matematik
punkrocker-punk rocker
toplutaşımacılıkta-toplu taşımacılıkta
kartınızlayapacağınız-kartınızla yapacağınız
çapulcubaşı-çapulcu başı
güneşinçocukları-güneşin çocukları
atdeğil-at değil
düşünüyoruzdedi-düşünüyoruz dedi
gelişindepolis-gelişinde polis
komikötesi-komik ötesi
yılveya-yıl veya
volkanyüksel-volkan yüksel
şekildebir-şekilde bir
userfriendly-user friendly
demekiçin-demek için
cevizkabuğunun-ceviz kabuğunun
biyazı-bi yazı
ilkşey-ilk şey
teile-te ile
karatoprağın-kara toprağın
büyükölçekli-büyük ölçekli
pazarınasıl-pazarı nasıl
kiiyi-ki iyi
takımsayısı-takım sayısı
bordomavililerin-bordo mavililerin
ölümsaçan-ölüm saçan
kalıcıolarak-kalıcı olarak
biraraştırma-bir araştırma
hayatıhakkında-hayatı hakkında
işbankası-iş bankası
aileüyelerini-aile üyelerini
sacho-sa cho
delikızın-deli kızın
kurupatlıcan-kuru patlıcan
grupseks-grup seks
bakmamaklazim-bakmamak lazim
yapıyorlardiye-yapıyorlar diye
afganistanpakistan-afganistan pakistan
vardımve-vardım ve
şarapbu-şarap bu
shahrukh-shah rukh
bozala-boz ala
kocaşehri-koca şehri
yatırımteşvik-yatırım teşvik
dahadün-daha dün
jaymi-jay mi
lostboy-lost boy
orospuçocukluğunu-orospu çocukluğunu
minsun-min sun
orospuçocukluğuna-orospu çocukluğuna
biarkadaşım-bi arkadaşım
zararveremez-zarar veremez
sonragelmek-sonra gelmek
vaadetmiyorlar-vaad etmiyorlar
uyantcy-uyan tcy
sizbenden-siz benden
anlatabildimmi-anlatabildim mi
yolaldık-yol aldık
minsuk-min suk
•eski-• eski
pittbu-pitt bu
kalearkasındaki-kale arkasındaki
kordonyolunun-kordon yolunun
içtüketimin-iç tüketimin
sonuçdeğişmez-sonuç değişmez
valibu-vali bu
insanlarave-insanlara ve
mecburikılıyor-mecburi kılıyor
girliçin-girl için
genesöylüyorum-gene söylüyorum
yinebüyük-yine büyük
mikrohavza-mikro havza
öğretimprogramlarına-öğretim programlarına
şekerpiliç-şeker piliç
vulla-v ulla
taşfırında-taş fırında
yetkisizliknedeniyle-yetkisizlik nedeniyle
yükselmişçok-yükselmiş çok
freerange-free range
adamhiç-adam hiç
mahsunişerif-mahsuni şerif
tavşankulak-tavşan kulak
tekbayrak-tek bayrak
surdışı-sur dışı
nasılolması-nasıl olması
afolur-af olur
rahathat-rahat hat
megasüper-mega süper
sınırkapıları-sınır kapıları
yunanistanmı-yunanistan mı
dochi-do chi
mehmetelkatmış-mehmet elkatmış
rtlütfen-rt lütfen
bensenin-ben senin
herseçim-her seçim
birkişi-bir kişi
ytliken-ytl iken
advar-ad var
canınakastedenler-canına kastedenler
muhammedömer-muhammed ömer
eşitağırlıkta-eşit ağırlıkta
buzkalıpları-buz kalıpları
ısyeri-ıs yeri
coolol-cool ol
verbir-ver bir
maketevi-maket evi
asmaaltı-asma altı
solmu-sol mu
rabiayalçın-rabia yalçın
dargörüşlülük-dar görüşlülük
liderlerarası-liderler arası
bildirebilirmisiniz-bildirebilir misiniz
waypoint-way point
hisarbey-hisar bey
kaçmodel-kaç model
böcekyiyen-böcek yiyen
greencar-green car
